order_id,completed_date,gross_amount,commission_fee,net_amount
ORD1001,2025-06-21,100.1,10.01,90.09
ORD1002,2025-06-24,173.76,17.38,156.38
ORD1003,2025-06-08,112.79,11.28,101.51
ORD1004,2025-06-04,354.51,35.45,319.06
ORD1005,2025-06-29,295.41,29.54,265.87
ORD1006,2025-06-19,239.86,23.99,215.87
ORD1007,2025-06-01,92.16,9.22,82.94
ORD1008,2025-06-08,277.41,27.74,249.67
ORD1009,2025-06-01,302.56,30.26,272.3
ORD1010,2025-06-23,342.45,34.24,308.21
ORD1011,2025-06-18,238.78,23.88,214.9
ORD1012,2025-06-15,315.17,31.52,283.65
ORD1013,2025-06-26,441.19,44.12,397.07
ORD1014,2025-06-25,412.62,41.26,371.36
ORD1015,2025-06-23,240.18,24.02,216.16
ORD1016,2025-06-09,119.97,12.0,107.97
ORD1017,2025-06-25,201.47,20.15,181.32
ORD1018,2025-06-03,220.97,22.1,198.87
ORD1019,2025-06-12,431.37,43.14,388.23
ORD1020,2025-06-20,169.03,16.9,152.13
ORD1021,2025-06-02,378.38,37.84,340.54
ORD1022,2025-06-18,106.17,10.62,95.55
ORD1023,2025-06-30,220.34,22.03,198.31
ORD1024,2025-06-18,181.93,18.19,163.74
ORD1025,2025-06-21,328.33,32.83,295.5
ORD1026,2025-06-28,212.74,21.27,191.47
ORD1027,2025-06-07,367.06,36.71,330.35
ORD1028,2025-06-02,347.57,34.76,312.81
ORD1029,2025-06-25,180.22,18.02,162.2
ORD1030,2025-06-03,434.89,43.49,391.4
ORD1031,2025-06-28,95.45,9.54,85.91
ORD1032,2025-06-09,254.03,25.4,228.63
ORD1033,2025-06-27,214.17,21.42,192.75
ORD1034,2025-06-12,209.87,20.99,188.88
ORD1035,2025-06-22,170.14,17.01,153.13
ORD1036,2025-06-30,357.6,35.76,321.84
ORD1037,2025-06-03,324.11,32.41,291.7
ORD1038,2025-06-06,290.36,29.04,261.32
ORD1039,2025-06-08,123.53,12.35,111.18
ORD1040,2025-06-13,171.48,17.15,154.33
ORD1041,2025-06-30,338.0,33.8,304.2
ORD1042,2025-06-18,148.83,14.88,133.95
ORD1043,2025-06-11,429.28,42.93,386.35
ORD1044,2025-06-25,75.17,7.52,67.65
ORD1045,2025-06-27,64.45,6.45,58.0
ORD1046,2025-06-11,230.52,23.05,207.47
ORD1047,2025-06-03,144.94,14.49,130.45
ORD1048,2025-06-19,444.37,44.44,399.93
ORD1049,2025-06-11,145.68,14.57,131.11
ORD1050,2025-06-16,228.03,22.8,205.23
