order_id,completed_date,net_amount,release_date,release_amount,date_difference,amount_difference_value,status
ORD1001,2025-06-21,90.09,2025-06-24,90.09,3.0,0.0,matched
ORD1002,2025-06-24,156.38,2025-06-27,156.38,3.0,0.0,matched
ORD1003,2025-06-08,101.51,2025-06-11,101.51,3.0,0.0,matched
ORD1004,2025-06-04,319.06,2025-06-06,319.06,2.0,0.0,matched
ORD1005,2025-06-29,265.87,2025-07-01,265.87,2.0,0.0,matched
ORD1006,2025-06-19,215.87,2025-06-22,215.87,3.0,0.0,matched
ORD1007,2025-06-01,82.94,2025-06-03,82.94,2.0,0.0,matched
ORD1008,2025-06-08,249.67,2025-06-10,249.67,2.0,0.0,matched
ORD1009,2025-06-01,272.3,2025-06-03,264.13,2.0,-8.17,amount_difference
ORD1010,2025-06-23,308.21,,,,,missing_release
ORD1011,2025-06-18,214.9,2025-06-20,214.9,2.0,0.0,matched
ORD1012,2025-06-15,283.65,2025-06-18,283.65,3.0,0.0,matched
ORD1013,2025-06-26,397.07,2025-06-28,397.07,2.0,0.0,matched
ORD1014,2025-06-25,371.36,2025-06-28,371.36,3.0,0.0,matched
ORD1015,2025-06-23,216.16,2025-06-26,216.16,3.0,0.0,matched
ORD1016,2025-06-09,107.97,2025-06-12,107.97,3.0,0.0,matched
ORD1017,2025-06-25,181.32,2025-06-28,172.25,3.0,-9.07,amount_difference
ORD1018,2025-06-03,198.87,2025-06-05,204.84,2.0,5.97,amount_difference
ORD1019,2025-06-12,388.23,2025-06-15,388.23,3.0,0.0,matched
ORD1020,2025-06-20,152.13,2025-06-22,152.13,2.0,0.0,matched
ORD1021,2025-06-02,340.54,2025-06-07,340.54,5.0,0.0,timing_difference
ORD1022,2025-06-18,95.55,2025-06-21,95.55,3.0,0.0,matched
ORD1023,2025-06-30,198.31,2025-07-03,198.31,3.0,0.0,matched
ORD1024,2025-06-18,163.74,2025-06-20,163.74,2.0,0.0,matched
ORD1025,2025-06-21,295.5,2025-06-24,295.5,3.0,0.0,matched
ORD1026,2025-06-28,191.47,2025-06-30,191.47,2.0,0.0,matched
ORD1027,2025-06-07,330.35,2025-06-10,330.35,3.0,0.0,matched
ORD1028,2025-06-02,312.81,2025-06-04,312.81,2.0,0.0,matched
ORD1029,2025-06-25,162.2,2025-06-27,162.2,2.0,0.0,matched
ORD1030,2025-06-03,391.4,,,,,missing_release
ORD1031,2025-06-28,85.91,2025-07-01,85.91,3.0,0.0,matched
ORD1032,2025-06-09,228.63,2025-06-11,228.63,2.0,0.0,matched
ORD1033,2025-06-27,192.75,2025-06-29,192.75,2.0,0.0,matched
ORD1034,2025-06-12,188.88,2025-06-15,188.88,3.0,0.0,matched
ORD1035,2025-06-22,153.13,2025-06-24,153.13,2.0,0.0,matched
ORD1036,2025-06-30,321.84,2025-07-02,321.84,2.0,0.0,matched
ORD1037,2025-06-03,291.7,2025-06-06,291.7,3.0,0.0,matched
ORD1038,2025-06-06,261.32,2025-06-09,261.32,3.0,0.0,matched
ORD1039,2025-06-08,111.18,2025-06-10,111.18,2.0,0.0,matched
ORD1040,2025-06-13,154.33,2025-06-18,154.33,5.0,0.0,timing_difference
ORD1041,2025-06-30,304.2,2025-07-05,304.2,5.0,0.0,timing_difference
ORD1042,2025-06-18,133.95,,,,,missing_release
ORD1043,2025-06-11,386.35,2025-06-13,386.35,2.0,0.0,matched
ORD1044,2025-06-25,67.65,2025-06-28,67.65,3.0,0.0,matched
ORD1045,2025-06-27,58.0,2025-06-30,58.0,3.0,0.0,matched
ORD1046,2025-06-11,207.47,2025-06-13,207.47,2.0,0.0,matched
ORD1047,2025-06-03,130.45,2025-06-05,130.45,2.0,0.0,matched
ORD1048,2025-06-19,399.93,2025-06-21,399.93,2.0,0.0,matched
ORD1049,2025-06-11,131.11,2025-06-13,131.11,2.0,0.0,matched
ORD1050,2025-06-16,205.23,2025-06-18,205.23,2.0,0.0,matched
