order_id,release_date,release_amount
ORD1001,2025-06-24,90.09
ORD1002,2025-06-27,156.38
ORD1003,2025-06-11,101.51
ORD1004,2025-06-06,319.06
ORD1005,2025-07-01,265.87
ORD1006,2025-06-22,215.87
ORD1007,2025-06-03,82.94
ORD1008,2025-06-10,249.67
ORD1009,2025-06-03,264.13
ORD1011,2025-06-20,214.9
ORD1012,2025-06-18,283.65
ORD1013,2025-06-28,397.07
ORD1014,2025-06-28,371.36
ORD1015,2025-06-26,216.16
ORD1016,2025-06-12,107.97
ORD1017,2025-06-28,172.25
ORD1018,2025-06-05,204.84
ORD1019,2025-06-15,388.23
ORD1020,2025-06-22,152.13
ORD1021,2025-06-07,340.54
ORD1022,2025-06-21,95.55
ORD1023,2025-07-03,198.31
ORD1024,2025-06-20,163.74
ORD1025,2025-06-24,295.5
ORD1026,2025-06-30,191.47
ORD1027,2025-06-10,330.35
ORD1028,2025-06-04,312.81
ORD1029,2025-06-27,162.2
ORD1031,2025-07-01,85.91
ORD1032,2025-06-11,228.63
ORD1033,2025-06-29,192.75
ORD1034,2025-06-15,188.88
ORD1035,2025-06-24,153.13
ORD1036,2025-07-02,321.84
ORD1037,2025-06-06,291.7
ORD1038,2025-06-09,261.32
ORD1039,2025-06-10,111.18
ORD1040,2025-06-18,154.33
ORD1041,2025-07-05,304.2
ORD1043,2025-06-13,386.35
ORD1044,2025-06-28,67.65
ORD1045,2025-06-30,58.0
ORD1046,2025-06-13,207.47
ORD1047,2025-06-05,130.45
ORD1048,2025-06-21,399.93
ORD1049,2025-06-13,131.11
ORD1050,2025-06-18,205.23
