bank_trx_id,credit_date,amount,description
BANK0000001,2025-12-30,58896.94,Shopee Payout250940
BANK0000002,2025-11-24,98605.95,SP Settlement  341607
BANK0000003,2025-10-20,33420.93,SHOPEE-PAYOUT    379391
BANK0000004,2026-01-22,71542.25,SP Settlement  643484
BANK0000005,2025-12-24,155029.97,sHOPEE pAYOUT-674719
BANK0000006,2026-02-21,103212.42,SP Settlement227005
BANK0000007,2026-01-07,86065.5,sHOPEE pAYOUT 860212
BANK0000008,2025-11-15,80418.75,sp sETTLEMENT  495869
BANK0000009,2025-12-03,75659.75,sp sETTLEMENT702338
BANK0000010,2025-11-15,78489.82,SH0PEE DIGITAL-675070
BANK0000011,2025-12-20,41862.94,shopee digital-386255
BANK0000012,2026-02-06,62667.76,SHOPEE DIGITAL318834
BANK0000013,2026-02-14,83584.52,SHOPEE-PAYOUT  911161
BANK0000014,2025-09-09,116870.79,Shopee Payout  895545
BANK0000015,2026-01-17,75141.36,Shopee Payout 447257
BANK0000016,2026-02-26,29116.67,Shopee Payout181102
BANK0000017,2025-09-11,55173.47,sHOPEE dIGITAL my-109486
BANK0000018,2025-10-18,77357.22,SP Settlement  852393
BANK0000019,2025-12-07,105163.4,sHOPEE dIGITAL my 115296
BANK0000020,2026-01-18,37420.41,shopee-payout  218275
BANK0000021,2026-01-11,59557.5,Shopee Payout-601819
BANK0000022,2025-11-28,25994.81,Shopee Digital MY-952022
BANK0000023,2025-11-27,38642.28,sHOPEE  dIGITAL  my    696570
BANK0000024,2025-10-09,73822.15,Shopee Digital MY  608631
BANK0000025,2025-11-08,59868.25,SHOPEE DIGITAL-253539
BANK0000026,2026-01-12,95126.08,Shopee Digital MY 981551
BANK0000027,2025-10-26,67612.9,SP Settlement  356193
BANK0000028,2025-11-02,33713.54,Shopee Payout693762
BANK0000029,2026-02-02,64463.73,sHOPEE pAYOUT  453141
BANK0000030,2026-02-17,65119.59,Shopee Digital MY210869
BANK0000031,2025-11-19,116733.85,SH0PEE DIGITAL  645842
BANK0000032,2025-11-27,78026.57,shopee digital735472
BANK0000033,2025-12-18,53979.3,SHOPEE DIGITAL  447579
BANK0000034,2026-01-26,124849.44,shopee digital677418
BANK0000035,2026-01-20,57760.83,sH0PEE dIGITAL my571793
BANK0000036,2025-12-13,80530.89,sp sETTLEMENT  233412
BANK0000037,2025-12-01,80748.32,sHOPEE pAYOUT  666883
BANK0000038,2026-01-03,97192.72,sHOPEE pAYOUT-712321
BANK0000039,2025-09-12,50990.57,SP Settlement  341429
BANK0000040,2026-01-21,64301.55,Shopee Digital MY 222681
BANK0000041,2026-03-02,56366.83,Shopee Payout  128844
BANK0000042,2025-09-06,56859.78,SH0PEE-PAY0UT  332769
BANK0000043,2026-02-24,123869.65,Shopee Digital MY  883017
BANK0000044,2025-10-03,99138.81,sp sETTLEMENT-289744
BANK0000045,2026-01-29,53256.9,sHOPEE dIGITAL my  622918
BANK0000046,2026-02-01,90785.13,Shopee Digital MY  912447
BANK0000047,2026-01-03,61378.32,SP Settlement  833094
BANK0000048,2026-02-06,64263.08,Shopee Payout440982
BANK0000049,2025-12-26,51945.1,sp sETTLEMENT  294077
BANK0000050,2025-10-26,86911.0,SHOPEE-PAYOUT  132126
BANK0000051,2025-10-01,93616.76,sH0PEE pAY0UT  710531
BANK0000052,2026-01-07,81769.8,sHOPEE dIGITAL my-730443
BANK0000053,2025-12-25,91381.16,SHOPEE-PAYOUT837446
BANK0000054,2025-09-25,102451.6,Shopee Digital MY-974530
BANK0000055,2025-10-29,68247.77,sHOPEE dIGITAL my-508437
BANK0000056,2026-03-07,55891.59,Shopee Payout 128904
BANK0000057,2025-11-02,82190.24,Shopee  Payout    268757
BANK0000058,2025-10-21,58993.37,shopee digital  884688
BANK0000059,2026-02-12,80355.42,Shopee Payout  757179
BANK0000060,2025-11-04,40899.55,sp sETTLEMENT614985
BANK0000061,2025-09-28,53799.46,sHOPEE dIGITAL my495939
BANK0000062,2026-02-19,46901.81,Shopee  Payout    140101
BANK0000063,2026-03-04,48444.88,sp sETTLEMENT  994984
BANK0000064,2025-09-28,87815.57,shopee digital-583139
BANK0000065,2026-02-22,90772.08,SHOPEE DIGITAL542843
BANK0000066,2025-11-13,77235.74,SP  Settlement    246092
BANK0000067,2025-09-23,107472.24,Shopee Digital MY  455627
BANK0000068,2025-09-16,107933.06,SP Settlement-319765
BANK0000069,2025-12-12,104353.64,shopee-payout-857812
BANK0000070,2025-11-07,76691.65,SP Settlement 578680
BANK0000023_DUP,2025-11-27,38642.28,sHOPEE  dIGITAL  my    696570
BANK0000001_DUP,2025-12-30,58896.94,Shopee Payout250940
