batch_id,batch_start_date,batch_end_date,settlement_date,total_gross,total_net,total_refund,number_of_orders
BATCH000001,2025-09-01,2025-09-02,2025-09-06,60723.34,56859.78,1961.17,229
BATCH000002,2025-09-03,2025-09-05,2025-09-09,124606.85,116870.79,3644.47,463
BATCH000003,2025-09-06,2025-09-07,2025-09-11,58260.6,55173.47,1259.55,234
BATCH000004,2025-09-08,2025-09-09,2025-09-12,54532.12,50990.57,1989.13,220
BATCH000005,2025-09-10,2025-09-12,2025-09-16,115813.45,107933.06,4193.87,426
BATCH000006,2025-09-13,2025-09-15,2025-09-22,113738.38,107472.24,3033.43,455
BATCH000007,2025-09-16,2025-09-18,2025-09-25,108370.77,102451.6,2706.04,428
BATCH000008,2025-09-19,2025-09-20,2025-09-27,93767.16,87815.57,3026.27,373
BATCH000009,2025-09-21,2025-09-22,2025-09-27,58359.02,53799.46,2649.38,221
BATCH000010,2025-09-23,2025-09-25,2025-09-30,98461.91,93616.76,1900.68,400
BATCH000011,2025-09-26,2025-09-28,2025-10-03,105677.12,99138.81,3119.65,385
BATCH000012,2025-09-29,2025-10-01,2025-10-08,78907.15,73827.15,2780.83,314
BATCH000013,2025-10-02,2025-10-03,2025-10-10,70051.64,65312.8,2589.06,267
BATCH000014,2025-10-04,2025-10-05,2025-10-12,39843.97,37092.56,1387.96,144
BATCH000015,2025-10-06,2025-10-07,2025-10-12,82395.26,77357.22,2412.19,322
BATCH000016,2025-10-08,2025-10-09,2025-10-14,63293.46,60048.1,1239.95,241
BATCH000017,2025-10-10,2025-10-12,2025-10-17,75210.8,71537.61,1465.36,295
BATCH000018,2025-10-13,2025-10-14,2025-10-19,36635.03,33420.93,2192.06,152
BATCH000019,2025-10-15,2025-10-17,2025-10-20,62330.67,58993.37,1487.21,253
BATCH000020,2025-10-18,2025-10-19,2025-10-25,92018.46,86911.0,2384.01,346
BATCH000021,2025-10-20,2025-10-22,2025-10-26,71749.54,67612.9,1885.37,269
BATCH000022,2025-10-23,2025-10-24,2025-10-28,72089.02,68247.77,1516.07,260
BATCH000023,2025-10-25,2025-10-26,2025-11-01,87863.05,82185.24,2913.91,333
BATCH000024,2025-10-27,2025-10-28,2025-11-02,36878.04,33713.54,2019.39,142
BATCH000025,2025-10-29,2025-10-30,2025-11-04,43358.09,40901.55,1137.76,171
BATCH000026,2025-10-31,2025-11-02,2025-11-06,82015.75,76691.65,2786.3,310
BATCH000027,2025-11-03,2025-11-04,2025-11-08,63443.29,59868.25,1598.84,246
BATCH000028,2025-11-05,2025-11-07,2025-11-13,81516.49,77393.16,1593.17,315
BATCH000029,2025-11-08,2025-11-09,2025-11-14,83434.5,78489.82,2295.73,321
BATCH000030,2025-11-10,2025-11-11,2025-11-15,84551.59,80418.75,1652.03,328
BATCH000031,2025-11-12,2025-11-13,2025-11-17,30313.54,28767.05,719.84,121
BATCH000032,2025-11-14,2025-11-16,2025-11-19,122876.36,116733.85,2674.08,495
BATCH000033,2025-11-17,2025-11-19,2025-11-23,105459.31,98605.95,3645.33,401
BATCH000034,2025-11-20,2025-11-21,2025-11-26,82947.24,78026.57,2292.67,312
BATCH000035,2025-11-22,2025-11-23,2025-11-27,68479.99,64637.09,1570.46,264
BATCH000036,2025-11-24,2025-11-26,2025-11-30,86613.01,80748.32,3346.41,336
BATCH000037,2025-11-27,2025-11-28,2025-12-02,80359.42,75659.75,2194.46,316
BATCH000038,2025-11-29,2025-12-01,2025-12-04,110394.39,105163.4,2073.86,435
BATCH000039,2025-12-02,2025-12-04,2025-12-11,110130.04,104353.64,2461.21,429
BATCH000040,2025-12-05,2025-12-07,2025-12-13,115702.79,108515.55,3527.8,457
BATCH000041,2025-12-08,2025-12-10,2025-12-13,85544.5,80530.89,2373.03,322
BATCH000042,2025-12-11,2025-12-12,2025-12-17,57980.13,53979.3,2192.99,220
BATCH000043,2025-12-13,2025-12-14,2025-12-19,44178.36,41866.94,946.32,170
BATCH000044,2025-12-15,2025-12-17,2025-12-24,100790.86,94981.87,2618.09,389
BATCH000045,2025-12-18,2025-12-20,2025-12-25,97806.71,91381.16,3421.44,379
BATCH000046,2025-12-21,2025-12-22,2025-12-26,54927.09,51945.1,1339.01,217
BATCH000047,2025-12-23,2025-12-24,2025-12-30,62595.08,58896.94,1726.82,247
BATCH000048,2025-12-25,2025-12-27,2026-01-02,103034.5,97192.72,2794.64,406
BATCH000049,2025-12-28,2025-12-29,2026-01-03,65364.64,61378.32,1898.21,259
BATCH000050,2025-12-30,2026-01-01,2026-01-06,92468.5,86065.5,3420.33,352
BATCH000051,2026-01-02,2026-01-03,2026-01-06,87544.33,81769.8,3030.0,338
BATCH000052,2026-01-04,2026-01-05,2026-01-10,64105.8,59557.5,2637.3,261
BATCH000053,2026-01-06,2026-01-08,2026-01-12,101781.18,95126.08,3565.89,397
BATCH000054,2026-01-09,2026-01-10,2026-01-16,81092.57,76245.32,2260.26,308
BATCH000055,2026-01-11,2026-01-12,2026-01-17,68541.02,64301.55,2091.52,251
BATCH000056,2026-01-13,2026-01-14,2026-01-18,39145.89,37420.41,512.72,155
BATCH000057,2026-01-15,2026-01-16,2026-01-20,60281.78,57760.83,587.09,226
BATCH000058,2026-01-17,2026-01-18,2026-01-22,76316.26,71542.25,2489.92,300
BATCH000059,2026-01-19,2026-01-21,2026-01-26,94031.99,87756.88,3385.01,346
BATCH000060,2026-01-22,2026-01-23,2026-01-28,56375.79,53256.9,1456.82,225
BATCH000061,2026-01-24,2026-01-25,2026-02-01,69333.83,64799.92,2239.04,269
BATCH000062,2026-01-26,2026-01-28,2026-01-31,94858.21,90785.13,1120.4,364
BATCH000063,2026-01-29,2026-01-31,2026-02-05,68246.65,64263.08,1902.38,270
BATCH000064,2026-02-01,2026-02-02,2026-02-05,67101.24,62667.76,2275.69,255
BATCH000065,2026-02-03,2026-02-05,2026-02-12,86284.65,80355.42,3342.65,343
BATCH000066,2026-02-06,2026-02-07,2026-02-14,88801.9,83584.52,2464.43,333
BATCH000067,2026-02-08,2026-02-10,2026-02-16,69118.94,65119.59,2045.75,272
BATCH000068,2026-02-11,2026-02-13,2026-02-20,109648.38,103212.42,3091.37,422
BATCH000069,2026-02-14,2026-02-15,2026-02-19,49840.59,46902.81,1319.09,189
BATCH000070,2026-02-16,2026-02-18,2026-02-22,96150.41,90772.08,2404.68,379
BATCH000071,2026-02-19,2026-02-20,2026-02-24,60963.84,58556.85,668.33,250
BATCH000072,2026-02-21,2026-02-22,2026-02-26,31082.33,29116.67,1101.32,128
BATCH000073,2026-02-23,2026-02-25,2026-03-01,59301.26,56366.83,1073.0,236
BATCH000074,2026-02-26,2026-02-27,2026-03-06,58947.87,55891.59,1226.64,223
BATCH000075,2026-02-28,2026-02-28,2026-03-04,50979.08,48444.88,952.77,200
