order_id,order_date,gross_amount,commission_fee,transaction_fee,shipping_subsidy,refund_flag,refund_amount,net_amount
ORD0000001,2025-09-01,230.66,9.01,2.64,9.37,0,0.0,228.38
ORD0000002,2025-09-01,432.13,15.82,4.77,2.41,0,0.0,413.95
ORD0000003,2025-09-01,354.74,13.05,5.63,1.23,0,0.0,337.29
ORD0000004,2025-09-01,65.21,1.9,0.76,8.31,0,0.0,70.86
ORD0000005,2025-09-01,488.3,10.22,9.4,1.53,0,0.0,470.21
ORD0000006,2025-09-01,385.35,12.76,6.09,1.79,1,66.34,301.95
ORD0000007,2025-09-01,397.31,10.5,5.35,5.99,0,0.0,387.45
ORD0000008,2025-09-01,81.49,2.63,1.3,8.75,0,0.0,86.31
ORD0000009,2025-09-01,236.19,10.77,2.42,1.96,0,0.0,224.96
ORD0000010,2025-09-01,197.98,5.35,3.88,3.1,0,0.0,191.85
ORD0000011,2025-09-01,464.85,10.11,6.89,7.77,0,0.0,455.62
ORD0000012,2025-09-01,329.06,9.36,5.87,9.72,0,0.0,323.55
ORD0000013,2025-09-01,414.93,11.95,4.49,5.01,0,0.0,403.5
ORD0000014,2025-09-01,232.84,9.28,3.46,1.44,0,0.0,221.54
ORD0000015,2025-09-01,129.07,4.74,1.92,0.14,0,0.0,122.55
ORD0000016,2025-09-01,286.2,12.45,5.55,2.3,0,0.0,270.5
ORD0000017,2025-09-01,50.63,2.02,0.8,1.32,1,172.28,-123.15
ORD0000018,2025-09-01,417.26,13.43,6.15,6.78,1,27.29,377.17
ORD0000019,2025-09-01,323.2,14.36,4.09,1.22,0,0.0,305.97
ORD0000020,2025-09-01,383.88,9.6,5.11,5.06,1,19.92,354.31
ORD0000021,2025-09-01,190.17,3.93,2.89,6.94,0,0.0,190.29
ORD0000022,2025-09-01,485.94,11.03,6.99,5.81,0,0.0,473.73
ORD0000023,2025-09-01,448.7,18.7,4.58,2.0,0,0.0,427.42
ORD0000024,2025-09-01,393.62,13.33,7.19,8.04,0,0.0,381.14
ORD0000025,2025-09-01,113.43,2.82,2.15,7.15,0,0.0,115.61
ORD0000026,2025-09-01,244.03,8.55,2.78,7.39,0,0.0,240.09
ORD0000027,2025-09-01,41.03,1.01,0.64,1.31,0,0.0,40.69
ORD0000028,2025-09-01,94.06,3.85,1.04,1.24,1,156.74,-66.33
ORD0000029,2025-09-01,347.86,11.61,5.82,9.28,0,0.0,339.71
ORD0000030,2025-09-01,377.49,11.86,4.84,3.98,0,0.0,364.77
ORD0000031,2025-09-01,484.4,14.07,8.04,3.01,0,0.0,465.3
ORD0000032,2025-09-01,176.4,6.86,3.05,4.89,0,0.0,171.38
ORD0000033,2025-09-01,197.82,6.1,3.5,6.63,0,0.0,194.85
ORD0000034,2025-09-01,245.39,5.55,2.72,9.56,1,123.62,123.06
ORD0000035,2025-09-01,110.95,2.61,2.13,2.86,0,0.0,109.07
ORD0000036,2025-09-01,82.36,4.02,1.01,9.25,0,0.0,86.58
ORD0000037,2025-09-01,248.34,11.74,2.58,0.25,0,0.0,234.27
ORD0000038,2025-09-01,128.92,5.28,2.0,5.55,0,0.0,127.19
ORD0000039,2025-09-01,341.51,9.55,4.68,6.34,1,105.0,228.62
ORD0000040,2025-09-01,229.83,11.28,4.21,1.06,0,0.0,215.4
ORD0000041,2025-09-01,419.69,18.2,7.59,1.4,0,0.0,395.3
ORD0000042,2025-09-01,356.13,14.78,4.69,4.19,0,0.0,340.85
ORD0000043,2025-09-01,169.94,5.69,3.32,9.66,0,0.0,170.59
ORD0000044,2025-09-01,419.48,11.82,5.42,5.96,0,0.0,408.2
ORD0000045,2025-09-01,406.29,9.3,6.16,9.33,0,0.0,400.16
ORD0000046,2025-09-01,205.99,9.7,2.59,8.04,0,0.0,201.74
ORD0000047,2025-09-01,158.4,5.33,3.07,4.67,0,0.0,154.67
ORD0000048,2025-09-01,347.6,9.06,4.05,7.85,0,0.0,342.34
ORD0000049,2025-09-01,87.08,2.54,0.91,0.18,0,0.0,83.81
ORD0000050,2025-09-01,115.96,4.33,1.66,1.09,0,0.0,111.06
ORD0000051,2025-09-01,23.53,0.6,0.47,8.29,0,0.0,30.75
ORD0000052,2025-09-01,397.72,18.18,7.52,7.97,0,0.0,379.99
ORD0000053,2025-09-01,339.13,14.5,5.93,2.33,0,0.0,321.03
ORD0000054,2025-09-01,358.48,14.91,6.78,5.31,0,0.0,342.1
ORD0000055,2025-09-01,394.75,13.01,7.47,6.06,0,0.0,380.33
ORD0000056,2025-09-01,240.28,9.33,3.65,8.68,0,0.0,235.98
ORD0000057,2025-09-01,293.0,10.99,3.86,6.03,0,0.0,284.18
ORD0000058,2025-09-01,87.1,3.44,1.54,4.13,0,0.0,86.25
ORD0000059,2025-09-01,74.97,1.69,1.25,3.74,0,0.0,75.77
ORD0000060,2025-09-01,340.83,11.07,4.68,4.26,0,0.0,329.34
ORD0000061,2025-09-01,246.13,5.23,2.69,6.52,0,0.0,244.73
ORD0000062,2025-09-01,291.31,10.14,5.09,8.67,0,0.0,284.75
ORD0000063,2025-09-01,387.2,11.58,4.89,4.54,0,0.0,375.27
